BN,IN,atc
DOXYCYCLINE,DOXYCYCLINE BASE,J01AA02
DOXYCYCLINE,DOXYCYCLINE BASE,NA
DOXYCYCLINE,DOXYCYCLINE MONOHYDRATÉE,NA
DOXYCYCLINE,DOXYCYCLINE ANHYDRE,A01AB22
DOXYCYCLINE,DOXYCYCLINE ANHYDRE,J01AA02
DOXYCYCLINE,DOXYCYCLINE ANHYDRE,NA
DOXYCYCLINE,DOXYCYCLINE,A01AB22
DOXYCYCLINE,DOXYCYCLINE,J01AA02
DOXYCYCLINE,DOXYCYCLINE,NA
DOXYLIS,DOXYCYCLINE MONOHYDRATÉE,NA
DOXYLIS,DOXYCYCLINE BASE,A01AB22
DOXYLIS,DOXYCYCLINE BASE,J01AA02
DOXYLIS,DOXYCYCLINE BASE,NA
DOXYPALU,DOXYCYCLINE MONOHYDRATÉE,NA
DOXYPALU,DOXYCYCLINE ANHYDRE,A01AB22
DOXYPALU,DOXYCYCLINE ANHYDRE,J01AA02
DOXYPALU,DOXYCYCLINE ANHYDRE,NA
DOZURSO,ACIDE URSODÉSOXYCHOLIQUE,A05AA02
DRILL ALLERGIE CETIRIZINE,DICHLORHYDRATE DE CÉTIRIZINE,NA
DRILL CITRON MENTHE,DIGLUCONATE DE CHLORHEXIDINE,NA
DRILL CITRON MENTHE,CHLORHYDRATE DE TÉTRACAÏNE,NA
DRILL MAUX DE GORGE,DIGLUCONATE DE CHLORHEXIDINE,NA
DRILL MAUX DE GORGE,CHLORHYDRATE DE TÉTRACAÏNE,NA
DRILL MIEL CITRON SANS SUCRE,DIGLUCONATE DE CHLORHEXIDINE,NA
DRILL MIEL CITRON SANS SUCRE,CHLORHYDRATE DE TÉTRACAÏNE,NA
DRILL MIEL ROSAT,DIGLUCONATE DE CHLORHEXIDINE,NA
DRILL MIEL ROSAT,CHLORHYDRATE DE TÉTRACAÏNE,NA
DRILL SANS SUCRE ANIS MENTHE,DIGLUCONATE DE CHLORHEXIDINE,NA
DRILL SANS SUCRE ANIS MENTHE,CHLORHYDRATE DE TÉTRACAÏNE,NA
DRILL SANS SUCRE,CHLORHEXIDINE (DIGLUCONATE DE),NA
DRILL SANS SUCRE,TÉTRACAÏNE (CHLORHYDRATE DE),NA
DRILL,DIGLUCONATE DE CHLORHEXIDINE,NA
DRILL,CHLORHYDRATE DE TÉTRACAÏNE,NA
DRIPTANE,CHLORHYDRATE D'OXYBUTYNINE,NA
DRIPTANE,OXYBUTYNINE BASE,G04BD04
DROLEPTAN,DROPÉRIDOL,N05AD08
DROPERIDOL,DROPÉRIDOL,N05AD08
DROPIZAL,MORPHINE,N02AA01
DROSPIBEL,ÉTHINYLESTRADIOL,G03CA01
DROSPIBEL,ÉTHINYLESTRADIOL,L02AA03
DROSPIBEL,DROSPIRÉNONE,G03AC10
DROSPIRENONE/ETHINYLESTRADIOL,ÉTHINYLESTRADIOL,G03CA01
DROSPIRENONE/ETHINYLESTRADIOL,ÉTHINYLESTRADIOL,L02AA03
DROSPIRENONE/ETHINYLESTRADIOL,DROSPIRÉNONE,G03AC10
DROVELIS,DROSPIRÉNONE,G03AC10
DRYTEC,MOLYBDATE (VI) [99 MO] DE SODIUM,NA
DUALKOPT,MALÉATE DE TIMOLOL,NA
DUALKOPT,TIMOLOL,NA
DUALKOPT,DORZOLAMIDE,S01EC03
DUALKOPT,CHLORHYDRATE DE DORZOLAMIDE,NA
DUGRESSA,DEXAMÉTHASONE,A01AC02
DUGRESSA,DEXAMÉTHASONE,C05AA09
DUGRESSA,DEXAMÉTHASONE,D07AB19
DUGRESSA,DEXAMÉTHASONE,D07XB05
DUGRESSA,DEXAMÉTHASONE,D10AA03
DUGRESSA,DEXAMÉTHASONE,H02AB02
DUGRESSA,DEXAMÉTHASONE,R01AD03
DUGRESSA,DEXAMÉTHASONE,S01BA01
DUGRESSA,DEXAMÉTHASONE,S01CB01
DUGRESSA,DEXAMÉTHASONE,S02BA06
DUGRESSA,DEXAMÉTHASONE,S03BA01
DUGRESSA,PHOSPHATE SODIQUE DE DEXAMÉTHASONE,NA
DUGRESSA,LÉVOFLOXACINE HÉMIHYDRATÉE,J01MA12
DUGRESSA,LÉVOFLOXACINE HÉMIHYDRATÉE,S01AE05
DUGRESSA,LÉVOFLOXACINE,NA
DULCILARMES,POVIDONE,NA
DULCOLAX,BISACODYL,A06AB02
DULCOLAX,BISACODYL,A06AG02
DULOXETINE,DULOXÉTINE,N06AX21
DUODOPA,LÉVODOPA,N04BA01
DUODOPA,CARBIDOPA ANHYDRE,NA
DUODOPA,CARBIDOPA MONOHYDRATÉE,NA
DUOFILM,ACIDE LACTIQUE,G01AD01
DUOFILM,ACIDE LACTIQUE,NA
DUOFILM,ACIDE SALICYLIQUE,D01AE12
DUOFILM,ACIDE SALICYLIQUE,S01BC08
DUOPLAVIN,ACIDE ACÉTYLSALICYLIQUE,A01AD05
DUOPLAVIN,ACIDE ACÉTYLSALICYLIQUE,B01AC06
DUOPLAVIN,ACIDE ACÉTYLSALICYLIQUE,N02BA01
DUOPLAVIN,CLOPIDOGREL (HYDROGÉNOSULFATE DE),NA
DUOPLAVIN,CLOPIDOGREL BASE,B01AC04
DUORESP SPIROMAX,BUDÉSONIDE,A07EA06
DUORESP SPIROMAX,BUDÉSONIDE,D07AC09
DUORESP SPIROMAX,BUDÉSONIDE,R01AD05
DUORESP SPIROMAX,BUDÉSONIDE,R03BA02
DUORESP SPIROMAX,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
DUOTRAV,MALÉATE DE TIMOLOL,NA
DUOTRAV,TIMOLOL BASE,NA
DUOTRAV,TRAVOPROST,S01EE04
DUOVA,ACÉTATE DE MÉDROXYPROGESTÉRONE,NA
DUOVA,VALÉRATE D'ESTRADIOL,NA
DUOVA,ESTRADIOL (VALÉRATE D'),NA
DUPHALAC,LACTULOSE,A06AD11
DUPHASTON,DYDROGESTÉRONE,G03DB01
DUPIXENT,DUPILUMAB,D11AH05
DURAPHAT,FLUORURE DE SODIUM,A01AA01
DURAPHAT,FLUORURE DE SODIUM,A12CD01
DURAPHAT,FLUOR ÉLÉMENT,NA
DUROGESIC,FENTANYL,N01AH01
DUROGESIC,FENTANYL,N02AB03
DUTASTERIDE,DUTASTÉRIDE,G04CB02
DUTASTERIDE/TAMSULOSINE,DUTASTÉRIDE,G04CB02
DUTASTERIDE/TAMSULOSINE,TAMSULOSINE,G04CA02
DUTASTERIDE/TAMSULOSINE,CHLORHYDRATE DE TAMSULOSINE,NA
DYMISTA,CHLORHYDRATE D'AZÉLASTINE,NA
DYMISTA,PROPIONATE DE FLUTICASONE,NA
DYNASTAT,PARÉCOXIB SODIQUE,NA
DYNASTAT,PARÉCOXIB,M01AH04
DYNEXAN,CHLORHYDRATE DE LIDOCAÏNE,NA
DYNEXANGIVAL,CHLORHYDRATE DE LIDOCAÏNE,NA
DYSALFA,TÉRAZOSINE BASE,G04CA03
DYSALFA,CHLORHYDRATE DE TÉRAZOSINE DIHYDRATÉ,NA
DZUVEO,SUFENTANIL,N01AH03
DZUVEO,CITRATE DE SUFENTANIL,NA
EAU POUR PREPARATIONS INJECTABLES,EAU POUR PRÉPARATIONS INJECTABLES,NA
EBASTINE,ÉBASTINE,R06AX22
EBILFUMIN,PHOSPHATE D'OSÉLTAMIVIR,NA
EBILFUMIN,OSÉLTAMIVIR,J05AH02
EBIXA,CHLORHYDRATE DE MÉMANTINE,NA
EBIXA,MÉMANTINE BASE,N06DX01
ECALTA,ANIDULAFUNGINE,J02AX06
ECBIRIO,MALÉATE DE TIMOLOL,NA
ECBIRIO,TIMOLOL,NA
ECBIRIO,BIMATOPROST,S01EE03
ECOBEC,DIPROPIONATE DE BÉCLOMÉTHASONE,NA
ECONAZOLE,NITRATE D'ÉCONAZOLE,NA
ECONAZOLE,ÉCONAZOLE BASE,D01AC03
ECONAZOLE,ÉCONAZOLE BASE,G01AF05
ECOVITAMINE B12,CYANOCOBALAMINE,B03BA01
EDEX,ALPROSTADIL,C01EA01
EDEX,ALPROSTADIL,G04BE01
EDLUAR,TARTRATE DE ZOLPIDEM,NA
EDUCTYL ADULTES,BICARBONATE DE SODIUM,B05CB04
EDUCTYL ADULTES,BICARBONATE DE SODIUM,B05XA02
EDUCTYL ENFANTS,BICARBONATE DE SODIUM,B05CB04
EDUCTYL ENFANTS,BICARBONATE DE SODIUM,B05XA02
EDURANT,RILPIVIRINE,J05AG05
EDURANT,CHLORHYDRATE DE RILPIVIRINE,NA
EFAVIRENZ,ÉFAVIRENZ,J05AG03
EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL,ÉFAVIRENZ,J05AG03
EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL,TÉNOFOVIR DISOPROXIL,J05AF07
EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL,EMTRICITABINE,J05AF09
EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL,FUMARATE DE TÉNOFOVIR DISOPROXIL,NA
EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL,SUCCINATE DE TÉNOFOVIR DISOPROXIL,NA
EFFALA,CHLORHYDRATE DE L'ACIDE 5-AMINOLÉVULINIQUE,NA
EFFEDERM,TRÉTINOÏNE,D10AD01
EFFEDERM,TRÉTINOÏNE,L01XF01
EFFENTORA,FENTANYL (CITRATE DE),NA
EFFENTORA,FENTANYL,N01AH01
EFFENTORA,FENTANYL,N02AB03
EFFERALGAN,PARACÉTAMOL,N02BE01
EFFERALGAN FRAISE,PARACÉTAMOL,N02BE01
EFFERALGAN FRUITS ROUGES,PARACÉTAMOL,N02BE01
EFFERALGAN VITAMINE C,ACIDE ASCORBIQUE,A11GA01
EFFERALGAN VITAMINE C,ACIDE ASCORBIQUE,G01AD03
EFFERALGAN VITAMINE C,ACIDE ASCORBIQUE,S01XA15
EFFERALGAN VITAMINE C,PARACÉTAMOL,N02BE01
EFFERALGANMED,PARACÉTAMOL,N02BE01
EFFERALGANMED PEDIATRIQUE,PARACÉTAMOL,N02BE01
EFFEXOR,CHLORHYDRATE DE VENLAFAXINE,NA
EFFEXOR,VENLAFAXINE,N06AX16
EFFICORT HYDROPHILE,ACÉPONATE D'HYDROCORTISONE,D07AC16
EFFICORT LIPOPHILE,ACÉPONATE D'HYDROCORTISONE,D07AC16
EFFIZINC,ZINC,NA
EFFIZINC,GLUCONATE DE ZINC,A12CB02
EFFORTIL,ÉTILÉFRINE (CHLORHYDRATE D'),NA
EFIENT,PRASUGREL,B01AC22
EFIENT,PRASUGREL (CHLORHYDRATE DE),NA
EFUDIX,FLUOROURACILE,L01BC02
EGATEN,TRICLABENDAZOLE,P02BX04
ELAPRASE,IDURSULFASE,A16AB09
ELAVIL,CHLORHYDRATE D'AMITRIPTYLINE,NA
ELDISINE,VINDÉSINE (SULFATE DE),NA
ELDISINE,SULFATE DE VINDÉSINE,NA
ELEBRATO ELLIPTA,FUROATE DE FLUTICASONE,R01AD12
ELEBRATO ELLIPTA,FUROATE DE FLUTICASONE,R03BA09
ELEBRATO ELLIPTA,VILANTÉROL,NA
ELEBRATO ELLIPTA,UMÉCLIDINIUM,NA
ELEBRATO ELLIPTA,BROMURE D'UMÉCLIDINIUM,R03BB07
ELEBRATO ELLIPTA,TRIFÉNATATE DE VILANTÉROL,NA
ELETRIPTAN,BROMHYDRATE D'ÉLÉTRIPTAN,NA
ELETRIPTAN,ÉLÉTRIPTAN,N02CC06
ELEVIT VITAMINE B9,BIOTINE,A11HA05
ELEVIT VITAMINE B9,VITAMINE A,NA
ELEVIT VITAMINE B9,MANGANÈSE (SULFATE DE) MONOHYDRATÉ,NA
ELEVIT VITAMINE B9,ALPHA-TOCOPHÉROL,A11HA03
ELEVIT VITAMINE B9,ALPHA-TOCOPHÉROL,NA
ELEVIT VITAMINE B9,ACIDE ASCORBIQUE,A11GA01
ELEVIT VITAMINE B9,ACIDE ASCORBIQUE,G01AD03
ELEVIT VITAMINE B9,ACIDE ASCORBIQUE,S01XA15
ELEVIT VITAMINE B9,ACIDE FOLIQUE,B03BB01
ELEVIT VITAMINE B9,ACIDE FOLIQUE,V04CX02
ELEVIT VITAMINE B9,ZINC (SULFATE DE) MONOHYDRATÉ,NA
ELEVIT VITAMINE B9,ZINC,NA
ELEVIT VITAMINE B9,CHOLÉCALCIFÉROL,A11CC05
ELEVIT VITAMINE B9,CYANOCOBALAMINE,B03BA01
ELEVIT VITAMINE B9,CHLORHYDRATE DE THIAMINE,NA
ELEVIT VITAMINE B9,PYRIDOXINE,A11HA02
ELEVIT VITAMINE B9,RIBOFLAVINE,A11HA04
ELEVIT VITAMINE B9,RIBOFLAVINE,S01XA26
ELEVIT VITAMINE B9,NICOTINAMIDE,A11HA01
ELEVIT VITAMINE B9,FUMARATE FERREUX,B03AA02
ELEVIT VITAMINE B9,ACÉTATE D'ALPHA-TOCOPHÉROL,NA
ELEVIT VITAMINE B9,ASCORBATE DE CALCIUM DIHYDRATÉ,NA
ELEVIT VITAMINE B9,CHLORHYDRATE DE PYRIDOXINE,NA
ELEVIT VITAMINE B9,PALMITATE DE VITAMINE A,NA
ELEVIT VITAMINE B9,STÉARATE DE MAGNÉSIUM,NA
ELEVIT VITAMINE B9,THIAMINE (NITRATE DE),NA
ELEVIT VITAMINE B9,CUIVRE,NA
ELEVIT VITAMINE B9,PANTOTHÉNATE DE CALCIUM,A11HA31
ELEVIT VITAMINE B9,PANTOTHÉNATE DE CALCIUM,D03AX04
ELEVIT VITAMINE B9,MAGNÉSIUM (HYDROGÉNOPHOSPHATE DE) TRIHYDRATÉ,NA
ELEVIT VITAMINE B9,FER,NA
ELEVIT VITAMINE B9,MANGANÈSE,NA
ELEVIT VITAMINE B9,CALCIUM ÉLÉMENT,NA
ELEVIT VITAMINE B9,"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",A11CC05
ELEVIT VITAMINE B9,MAGNÉSIUM,NA
ELFASETTE,DÉSOGESTREL,G03AC09
ELIGARD,LEUPRORÉLINE,L02AE02
ELIGARD,ACÉTATE DE LEUPRORÉLINE,NA
ELIQUIS,APIXABAN,B01AF02
ELISOR,PRAVASTATINE SODIQUE,NA
ELLAONE,ACÉTATE D'ULIPRISTAL,NA
ELMIRON,PENTOSANE POLYSULFATE SODIQUE,C05BA04
ELMIRON,PENTOSANE POLYSULFATE SODIQUE,G04BX15
ELOCTA,EFMOROCTOCOG ALFA,NA
ELOXATINE,OXALIPLATINE,L01XA03
ELSEP,CHLORHYDRATE DE MITOXANTRONE,NA
ELSEP,MITOXANTRONE,L01DB07
ELUDRIL,CHLOROBUTANOL HÉMIHYDRATÉ,NA
ELUDRIL,DIGLUCONATE DE CHLORHEXIDINE,NA
ELUDRIL,CHLORHYDRATE DE TÉTRACAÏNE,NA
ELUDRILPERIO,DIGLUCONATE DE CHLORHEXIDINE,NA
ELUDRILPRO,DIGLUCONATE DE CHLORHEXIDINE,NA
ELUDRILPRO,CHLOROBUTANOL HÉMIHYDRATÉ,NA
ELVORINE,ACIDE L FOLINIQUE,NA
ELVORINE,LÉVOFOLINATE DE CALCIUM,NA
EMEND,APRÉPITANT,A04AD12
EMERADE,ADRÉNALINE,A01AD01
EMERADE,ADRÉNALINE,B02BC09
EMERADE,ADRÉNALINE,C01CA24
EMERADE,ADRÉNALINE,R01AA14
EMERADE,ADRÉNALINE,R03AA01
EMERADE,ADRÉNALINE,S01EA01
EMERADE,TARTRATE D'ADRÉNALINE,NA
EMGALITY,GALCANÉZUMAB,N02CD02
EMLA,LIDOCAÏNE,C01BB01
EMLA,LIDOCAÏNE,C05AD01
EMLA,LIDOCAÏNE,D04AB01
EMLA,LIDOCAÏNE,N01BB02
EMLA,LIDOCAÏNE,R02AD02
EMLA,LIDOCAÏNE,S01HA07
EMLA,LIDOCAÏNE,S02DA01
EMLA,PRILOCAÏNE,N01BB04
EMLAPATCH,LIDOCAÏNE,C01BB01
EMLAPATCH,LIDOCAÏNE,C05AD01
EMLAPATCH,LIDOCAÏNE,D04AB01
EMLAPATCH,LIDOCAÏNE,N01BB02
EMLAPATCH,LIDOCAÏNE,R02AD02
EMLAPATCH,LIDOCAÏNE,S01HA07
EMLAPATCH,LIDOCAÏNE,S02DA01
EMLAPATCH,PRILOCAÏNE,N01BB04
EMTRICITABINE TENOFOVIR DISOPROXIL,TÉNOFOVIR DISOPROXIL,J05AF07
EMTRICITABINE TENOFOVIR DISOPROXIL,EMTRICITABINE,J05AF09
EMTRICITABINE/TENOFOVIR DISOPROXIL,TÉNOFOVIR DISOPROXIL,J05AF07
EMTRICITABINE/TENOFOVIR DISOPROXIL,EMTRICITABINE,J05AF09
EMTRICITABINE/TENOFOVIR DISOPROXIL,FUMARATE DE TÉNOFOVIR DISOPROXIL,NA
EMTRICITABINE/TENOFOVIR DISOPROXIL,SUCCINATE DE TÉNOFOVIR DISOPROXIL,NA
EMTRIVA,EMTRICITABINE,J05AF09
ENALAPRIL,MALÉATE D'ÉNALAPRIL,NA
ENALAPRIL/HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,C03AA03
ENALAPRIL/HYDROCHLOROTHIAZIDE,MALÉATE D'ÉNALAPRIL,NA
ENALAPRIL/LERCANIDIPINE,MALÉATE D'ÉNALAPRIL,NA
ENALAPRIL/LERCANIDIPINE,CHLORHYDRATE DE LERCANIDIPINE,NA
ENALAPRIL/LERCANIDIPINE,ÉNALAPRIL,C09AA02
ENALAPRIL/LERCANIDIPINE,LERCANIDIPINE,C08CA13
ENANTONE,LEUPRORÉLINE,L02AE02
ENANTONE,ACÉTATE DE LEUPRORÉLINE,NA
ENANTYUM,DEXKÉTOPROFÈNE,M01AE17
ENANTYUM,DEXKÉTOPROFÈNE,M02AA27
ENANTYUM,DEXKÉTOPROFÈNE TROMÉTAMOL,NA
ENBREL,ÉTANERCEPT,L04AB01
ENDOVELA,DIÉNOGEST,G03DB08
ENDOXAN,CYCLOPHOSPHAMIDE,L01AA01
ENDOXAN,CYCLOPHOSPHAMIDE,NA
ENDOXAN,CYCLOPHOSPHAMIDE ANHYDRE,L01AA01
ENDOXAN,CYCLOPHOSPHAMIDE ANHYDRE,NA
ENERZAIR BREEZHALER,BROMURE DE GLYCOPYRRONIUM,NA
ENERZAIR BREEZHALER,FUROATE DE MOMÉTASONE,NA
ENERZAIR BREEZHALER,GLYCOPYRRONIUM,D11AA01
ENERZAIR BREEZHALER,INDACATÉROL,R03AC18
ENOXAPARINE,ÉNOXAPARINE SODIQUE,NA
ENOXAPARINE BECAT,ÉNOXAPARINE SODIQUE,NA
ENOXAPARINE CRUSIA,ÉNOXAPARINE SODIQUE,NA
ENSTILAR,BÉTAMÉTHASONE,A07EA04
ENSTILAR,BÉTAMÉTHASONE,C05AA05
ENSTILAR,BÉTAMÉTHASONE,D07AC01
ENSTILAR,BÉTAMÉTHASONE,D07XC01
ENSTILAR,BÉTAMÉTHASONE,H02AB01
ENSTILAR,BÉTAMÉTHASONE,R01AD06
ENSTILAR,BÉTAMÉTHASONE,R03BA04
ENSTILAR,BÉTAMÉTHASONE,S01BA06
ENSTILAR,BÉTAMÉTHASONE,S01CB04
ENSTILAR,BÉTAMÉTHASONE,S02BA07
ENSTILAR,BÉTAMÉTHASONE,S03BA03
ENSTILAR,DIPROPIONATE DE BÉTAMÉTHASONE,NA
ENSTILAR,CALCIPOTRIOL,D05AX02
ENSTILAR,CALCIPOTRIOL MONOHYDRATÉ,NA
ENTACAPONE,ENTACAPONE,N04BX02
ENTALGINE,DICLOFÉNAC DE DIÉTHYLAMINE,NA
ENTECAVIR,ENTÉCAVIR MONOHYDRATÉ,J05AF10
ENTECAVIR,ENTÉCAVIR,NA
ENTECET,TAKA-DIASTASE,A09AA01
ENTOCORT,BUDÉSONIDE,A07EA06
ENTOCORT,BUDÉSONIDE,D07AC09
ENTOCORT,BUDÉSONIDE,R01AD05
ENTOCORT,BUDÉSONIDE,R03BA02
ENTONOX,OXYGÈNE,V03AN01
ENTONOX,PROTOXYDE D'AZOTE,N01AX13
ENTRESTO,VALSARTAN,C09CA03
ENTRESTO,COMPLEXE SODIQUE SACUBITRIL VALSARTAN HÉMIPENTAHYDRATÉ,C09DX04
ENTRESTO,SACUBITRIL,NA
ENTYVIO,VÉDOLIZUMAB,L04AA33
ENVARSUS,TACROLIMUS,D11AH01
ENVARSUS,TACROLIMUS,L04AD02
ENVARSUS,TACROLIMUS,NA
ENVARSUS,TACROLIMUS MONOHYDRATÉ,NA
EPCLUSA,VELPATASVIR,NA
EPCLUSA,SOFOSBUVIR,J05AP08
EPHEDRINE,CHLORHYDRATE D'ÉPHÉDRINE,NA
EPIDUO,PEROXYDE DE BENZOYLE,D10AE01
EPIDUO,ADAPALÈNE,D10AD03
EPIDYOLEX,CANNABIDIOL,N03AX24
EPINITRIL,TRINITRINE,C01DA02
EPINITRIL,TRINITRINE,C05AE01
EPIPEN,ADRÉNALINE,A01AD01
EPIPEN,ADRÉNALINE,B02BC09
EPIPEN,ADRÉNALINE,C01CA24
EPIPEN,ADRÉNALINE,R01AA14
EPIPEN,ADRÉNALINE,R03AA01
EPIPEN,ADRÉNALINE,S01EA01
EPIRUBICINE,CHLORHYDRATE D'ÉPIRUBICINE,NA
EPIRUBICINE,ÉPIRUBICINE (CHLORHYDRATE D'),NA
EPITOMAX,TOPIRAMATE,N03AX11
EPITOPIC,DIFLUPREDNATE,D07AC19
EPIVIR,LAMIVUDINE,J05AF05
EPLERENONE,ÉPLÉRÉNONE,C03DA04
EPOPROSTENOL,ÉPOPROSTÉNOL,B01AC09
EPOPROSTENOL,ÉPOPROSTÉNOL SODIQUE,NA
EPORATIO,ÉPOÉTINE THÊTA,B03XA02
EPREX,ÉPOÉTINE ALFA,NA
EPTAVIT,CARBONATE DE CALCIUM,A02AC01
EPTAVIT,CARBONATE DE CALCIUM,A12AA04
EPTAVIT,CHOLÉCALCIFÉROL,A11CC05
EPTAVIT,CALCIUM ÉLÉMENT,NA
EPTAVIT,"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",A11CC05
EPTIFIBATIDE,EPTIFIBATIDE,B01AC16
ERAPYL,ACÉTATE DE CYPROTÉRONE,NA
ERAZABAN,DOCOSANOL,D06BB11
ERBITUX,CÉTUXIMAB,L01FE01
ERCEFURYL,NIFUROXAZIDE,A07AX03
ERELZI,ÉTANERCEPT,L04AB01
ERIVEDGE,VISMODÉGIB,L01XJ01
ERLEADA,APALUTAMIDE,L02BB05
ERLOTINIB,CHLORHYDRATE D'ERLOTINIB,NA
ERLOTINIB,ERLOTINIB,L01EB02
ERTAPENEM,ERTAPÉNEM,J01DH03
ERTAPENEM,ERTAPÉNEM SODIQUE,NA
ERWINASE,CRISANTASPASE,L01XX02
ERY,ÉRYTHROMYCINE BASE,D10AF02
ERY,ÉRYTHROMYCINE BASE,J01FA01
ERY,ÉRYTHROMYCINE BASE,S01AA17
ERY ENFANTS,ÉRYTHROMYCINE (ÉTHYLSUCCINATE D'),NA
ERY ENFANTS,ÉRYTHROMYCINE BASE,D10AF02
ERY ENFANTS,ÉRYTHROMYCINE BASE,J01FA01
ERY ENFANTS,ÉRYTHROMYCINE BASE,S01AA17
ERY NOURRISSONS,ÉRYTHROMYCINE (ÉTHYLSUCCINATE D'),NA
ERY NOURRISSONS,ÉRYTHROMYCINE BASE,D10AF02
ERY NOURRISSONS,ÉRYTHROMYCINE BASE,J01FA01
ERY NOURRISSONS,ÉRYTHROMYCINE BASE,S01AA17
ERYFLUID,ÉRYTHROMYCINE,D10AF02
ERYFLUID,ÉRYTHROMYCINE,J01FA01
ERYFLUID,ÉRYTHROMYCINE,S01AA17
ERYLIK,TRÉTINOÏNE,D10AD01
ERYLIK,TRÉTINOÏNE,L01XF01
ERYLIK,ÉRYTHROMYCINE,D10AF02
ERYLIK,ÉRYTHROMYCINE,J01FA01
ERYLIK,ÉRYTHROMYCINE,S01AA17
ERYTHEDERMYL,DEXPANTHÉNOL,A11HA30
ERYTHEDERMYL,DEXPANTHÉNOL,D03AX03
ERYTHEDERMYL,DEXPANTHÉNOL,S01XA12
ERYTHROCINE,ÉRYTHROMYCINE,D10AF02
ERYTHROCINE,ÉRYTHROMYCINE,J01FA01
ERYTHROCINE,ÉRYTHROMYCINE,S01AA17
ERYTHROCINE,LACTOBIONATE D'ÉRYTHROMYCINE,NA
ERYTHROCINE,ÉRYTHROMYCINE (LACTOBIONATE D'),NA
ERYTHROCINE,ÉTHYLSUCCINATE D'ÉRYTHROMYCINE,NA
ERYTHROCINE,ÉRYTHROMYCINE BASE,D10AF02
ERYTHROCINE,ÉRYTHROMYCINE BASE,J01FA01
ERYTHROCINE,ÉRYTHROMYCINE BASE,S01AA17
ERYTHROGEL,ÉRYTHROMYCINE,D10AF02
ERYTHROGEL,ÉRYTHROMYCINE,J01FA01
ERYTHROGEL,ÉRYTHROMYCINE,S01AA17
ERYTHROMYCINE,ÉRYTHROMYCINE,D10AF02
ERYTHROMYCINE,ÉRYTHROMYCINE,J01FA01
ERYTHROMYCINE,ÉRYTHROMYCINE,S01AA17
ERYTHROMYCINE,LACTOBIONATE D'ÉRYTHROMYCINE,NA
ESBERIVEN FORT,RUTOSIDE,C05CA01
ESBRIET,PIRFÉNIDONE,L04AX05
ESCITALOPRAM,OXALATE D'ESCITALOPRAM,NA
ESCITALOPRAM,ESCITALOPRAM,N06AB10
ESIDREX,HYDROCHLOROTHIAZIDE,C03AA03
ESKAZOLE,ALBENDAZOLE,P02CA03
ESKESIA,ESKÉTAMINE,N01AX14
ESKESIA,ESKÉTAMINE,N06AX27
ESMERON,ROCURONIUM (BROMURE DE),M03AC09
ESMOCARD,CHLORHYDRATE D'ESMOLOL,NA
ESMYA,ACÉTATE D'ULIPRISTAL,NA
ESOMEPRAZOLE,ÉSOMÉPRAZOLE,A02BC05
ESOMEPRAZOLE,ÉSOMÉPRAZOLE SODIQUE,NA
ESOMEPRAZOLE,ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ,NA
ESPERAL,DISULFIRAME,N07BB01
ESPERAL,DISULFIRAME,P03AA04
ESPIZENE CONTINU,ÉTHINYLESTRADIOL,G03CA01
ESPIZENE CONTINU,ÉTHINYLESTRADIOL,L02AA03
ESPIZENE CONTINU,DROSPIRÉNONE,G03AC10
ESSENCE ALGERIENNE,GAÏACOL,NA
ESSENCE ALGERIENNE,LÉVOMENTHOL,NA
ESSENCE ALGERIENNE,LÉVOMENTHOL,NA
ESSENCE ALGERIENNE,CINÉOLE,R05CA13
ESTERS ETHYLIQUES D'ACIDES OMEGA,OMÉGA-3 (ESTERS ÉTHYLIQUES 90 D'ACIDES),NA
ESTIMA,PROGESTÉRONE,G03DA04
ESTRACYT,PHOSPHATE DISODIQUE D'ESTRAMUSTINE MONOHYDRATÉ,NA
ESTRACYT,ESTRAMUSTINE PHOSPHATE,NA
ESTRAPATCH,ESTRADIOL,G03CA03
ESTRAPATCH,ESTRADIOL HÉMIHYDRATÉ,NA
ESTREVA,ESTRADIOL ANHYDRE,G03CA03
ESTREVA,ESTRADIOL HÉMIHYDRATÉ,NA
ESTRING,ESTRADIOL,G03CA03
ESTRING,ESTRADIOL HÉMIHYDRATÉ,NA
ESTROFEM,ESTRADIOL,G03CA03
ESTROFEM,ESTRADIOL HÉMIHYDRATÉ,NA
ETAIN STANNEUX,STANNEUX (FLUORURE),A01AA04
ETAIN STANNEUX,SODIUM (MÉDRONATE DE),NA
ETHER,ÉTHER ÉTHYLIQUE,N01AA01
ETHER,ÉTHER,N01AA01
ETHINYLESTRADIOL/DROSPIRENONE,ÉTHINYLESTRADIOL,G03CA01
